_id,Id,UserName,Name,NeuralNet,__v
5f6e54d1fd0412d46483b649,23233899,PranjalVyas1507,Pranjal Vyas,[],0
5f6e563ad21427d72c62342c,111253792419995245617,Pranjal Vyas,PranjalVyas,"[{""neurons"":[""4"",""2"",""1""],""dropouts"":[],""weights_biases"":[],""_id"":{""$oid"":""5f7bf9ae04271b17f89d32b8""},""fliename"":""nba_logreg.xlsx"",""layers"":2,""ptype"":""Classification"",""test_split"":0.1,""validation_split"":0.1,""learning_rate"":0.0003,""Batch_size"":15,""Optimizer"":""SGD"",""framework"":""PyTorch"",""date"":{""$date"":""2020-10-06T04:59:26.583Z""}},{""neurons"":[""4"",""4"",""2"",""1""],""dropouts"":[],""weights_biases"":[],""_id"":{""$oid"":""5f7bfa2e04271b17f89d32b9""},""fliename"":""seismic-bumps.xlsx"",""layers"":3,""ptype"":""Classification"",""test_split"":0.1,""validation_split"":0.1,""learning_rate"":0.0005,""Batch_size"":15,""Optimizer"":""SGD"",""framework"":""PyTorch"",""date"":{""$date"":""2020-10-06T05:01:34.871Z""}}]",0
5f6e604b6bcfed43f994d8a5,219607342,Pranjal_d_vyas,Pranjal Vyas,[],0
